frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
16,1.0,[243.8440479503065 91.68230282679212 1926.5281614171313 1060.836477052756],[1502.3272705078125 816.4147338867188 1898.452880859375 1035.3695068359375],0.305909126996994, ,0.0
17,1.0,[253.64996782371702 90.79605395890502 1925.1432478905058 1057.3200122448757],[1503.2105712890625 817.06201171875 1898.2064208984375 1035.4278564453125],0.3195892870426178, ,0.0
18,1.0,[260.6724575713623 92.61440066193933 1921.7792282607288 1058.7462834794717],[1505.2828369140625 817.496337890625 1897.544677734375 1035.196044921875],0.3402600884437561, ,0.0
19,1.0,[264.31675465016997 92.87122071185473 1918.5810865438202 1059.1749590085183],[1505.408935546875 817.4083251953125 1897.6783447265625 1035.1885986328125],0.34187957644462585, ,0.0
20,1.0,[265.7899792954231 92.53985020180062 1915.847742221577 1059.1529261336427],[1505.8360595703125 817.28173828125 1898.2178955078125 1035.049072265625],0.3414016664028168, ,0.0
21,1.0,[271.120189401914 90.45172125000875 1913.9236578761665 1058.878222226961],[1506.8778076171875 819.8615112304688 1902.6983642578125 1035.8460693359375],0.26957830786705017, ,0.0
22,1.0,[274.23657964157667 89.297169607125 1912.0427679670902 1059.586839363075],[1507.045166015625 820.1035766601562 1902.6676025390625 1035.793212890625],0.2690584361553192, ,0.0
23,1.0,[277.644283824073 91.89154299932756 1911.6637372496582 1062.3135872183184],[1510.1932373046875 823.8652954101562 1901.4251708984375 1034.890869140625],0.28690698742866516, ,0.0
24,1.0,[280.1952038313906 92.58763447750937 1911.5160074159685 1063.3027376492623],[1509.7371826171875 823.6871337890625 1900.9866943359375 1034.8648681640625],0.2887786030769348, ,0.0
25,1.0,[280.65036075747423 93.2714384874933 1910.4773848147834 1063.8831906782689],[1509.73388671875 823.6909790039062 1900.93798828125 1034.894287109375],0.291818767786026, ,0.0
26,1.0,[279.7653777898047 96.16125975411302 1909.4096265637893 1066.3533749326768],[1511.2264404296875 826.363037109375 1898.864501953125 1033.72119140625],0.29391223192214966, ,0.0
27,1.0,[279.17006661647633 97.0582985193949 1908.695674262022 1067.3486282071688],[1511.26123046875 826.497314453125 1898.8253173828125 1033.8514404296875],0.3018101453781128, ,0.0
81,1.0,[480.20188976127656 166.28281969470873 1916.737998484702 1054.0915210075525],[1739.25732421875 909.5326538085938 1897.81494140625 999.4989624023438],0.26747938990592957, ,0.0
82,1.0,[480.6565868916472 165.86561139367996 1915.5410444191598 1054.628094881792],[1739.4415283203125 909.5857543945312 1897.8013916015625 999.4656372070312],0.26549914479255676, ,0.0
83,1.0,[485.40187051531996 167.77328853606565 1916.774816546089 1057.3350815498259],[1739.625 909.3050537109375 1898.0299072265625 999.5945434570312],0.2772220969200134, ,0.0
84,1.0,[487.50949607477617 168.40569891747413 1916.3158057312153 1058.3579479322843],[1739.427978515625 908.9146728515625 1898.797119140625 999.6060791015625],0.27714839577674866, ,0.0
85,1.0,[488.65950152550874 168.4844737938182 1915.5963027005696 1058.675559745202],[1739.3638916015625 908.8828735351562 1898.8670654296875 999.6390991210938],0.27825266122817993, ,0.0
86,1.0,[493.02258472427127 169.680894446438 1916.441111920999 1060.888367697491],[1739.2294921875 908.7991333007812 1899.186767578125 999.7468872070312],0.26384785771369934, ,0.0
