frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1,180.09228515625 5.35748291015625 1809.030517578125 993.7820434570312,1440.122314453125 561.9501953125 1626.9217529296875 726.89013671875,0.4627712368965149,সড/ -008)/ 49- ,0.09265413403486938
1,1,179.46997687977068 5.346282295539481 1808.7193253520823 993.8302887110982,1440.119873046875 561.9505004882812 1626.9193115234375 726.8795776367188,0.4624900817871094,সড/ -008)/ 49- ,0.09265413403486938
2,1,178.8520260783855 5.16712674691172 1809.6166353132742 993.9762114699513,1440.126708984375 561.956787109375 1626.9195556640625 726.87744140625,0.4622304439544678,সড/ -008)/ 49- ,0.09265413403486938
3,1,201.78687113295507 3.5525754468131936 1805.438883962383 980.5465771750409,1445.4228515625 549.9886474609375 1631.1009521484375 709.4149169921875,0.6316657662391663,মেড ১>-০৫৪|,0.23884378432583406
4,1,210.18478007220756 3.849742003122685 1801.9038308051654 976.4125734207444,1445.4232177734375 549.9893188476562 1631.1002197265625 709.4142456054688,0.6316877007484436,মেড ১>-০৫৪|,0.23884378432583406
5,1,219.73796251417275 1.2870416257288184 1780.7736115259513 960.2935214588499,1456.6063232421875 532.4642944335938 1648.3734130859375 702.6312255859375,0.4387038052082062,>-0৫8/ >-০৫৪/,0.3193483663817601
6,1,227.04414271563235 1.7639920045849067 1770.7923702027906 954.0121947189126,1455.332275390625 532.2217407226562 1648.48291015625 703.3680419921875,0.4453491270542145,|ক/ ,0.08224305510520935
7,1,236.166439117726 -0.3659279910217492 1790.3090931697245 947.1243444503824,1458.4091796875 520.9127197265625 1654.567138671875 695.8137817382812,0.5127910375595093,ঢোকা যেদ্রো ১>-০৫৪/,0.2732709097040109
8,1,236.20959837144596 -0.07434358240612937 1796.2907342777758 944.0398937266361,1458.6314697265625 520.7823486328125 1654.5081787109375 695.798583984375,0.5149251222610474,ঢোকা যেদ্রো ১>-০৫৪/,0.2741056049694504
9,1,232.80153706004194 0.753804697651276 1796.3574865688436 942.5489471465993,1457.6082763671875 520.9075927734375 1654.6224365234375 696.2872924804688,0.5260906219482422,ঢোকা ১>-০৫৪}|,0.20950471082886793
10,1,233.49132886336088 0.4475768304051826 1809.6932011005342 940.0544407095178,1480.1961669921875 515.1602783203125 1660.55322265625 684.4257202148438,0.6056806445121765,ঢোকা ১১-০৫৪)/,0.2647118981280302
11,1,230.9571730778083 0.9005786431484353 1814.6502047096333 938.8275540912755,1480.3480224609375 514.7210083007812 1661.1624755859375 684.9669799804688,0.6017494797706604,মেনডরা ঢকা ১>-০৫৪)|,0.3145259407949704
12,1,231.65709894731071 1.6411543697042816 1824.8906996335181 938.9156713332478,1481.29248046875 511.74810791015625 1673.05078125 693.7467041015625,0.5467780232429504,ঢাকা মেড ১>-০৫৪),0.21564333618955656
13,1,220.89552878948223 1.004055655721686 1826.402046226578 939.4683039845951,1482.4547119140625 512.0789794921875 1671.273193359375 691.5807495117188,0.542542040348053,ঢাকা ১১-০৫৪)|,0.588228286366967
14,1,213.80200020896007 0.6587030647650067 1828.4338191535476 939.996568163539,1482.556640625 512.1046752929688 1671.1845703125 691.5469360351562,0.5438736081123352,ঢাকা ১১-০৫৪)|,0.5934379356462871
15,1,219.60591682295467 1.6519866398115823 1834.699175755902 942.231542048137,1488.6416015625 526.966552734375 1676.4429931640625 690.5223999023438,0.6288227438926697,ঢকা ১১-০৫৪)|,0.49690425857516207
16,1,221.59129669428808 2.022792736749352 1834.2499105242189 943.2796997589194,1488.01904296875 525.671630859375 1678.2593994140625 691.9938354492188,0.6334917545318604,মে্ড্রা ঢাকা ১১-০৫৪)|,0.385964843481457
17,1,229.30036764208648 3.804940816892895 1830.2113933162898 946.2423008484661,1487.86962890625 527.4584350585938 1677.0933837890625 694.9915161132812,0.562717080116272,মেত্রা ঢাকা ১১-০৫৪)/,0.27543073518498074
18,1,234.24088576963675 4.276999195315682 1826.5886323692812 947.6514853105668,1487.7564697265625 527.4620361328125 1677.1607666015625 695.0275268554688,0.5619544982910156,মেত্রা ঢাকা ,0.11156188361708619
19,1,257.4759180057456 5.469491892782003 1841.2645005814268 953.0859945020545,1492.6173095703125 527.2566528320312 1685.75146484375 705.0980224609375,0.4555758833885193,ঢকা ১১-০৫৪,0.43794274215269813
20,1,266.83584041811093 5.126154908907267 1844.9032724565805 955.9467636437819,1492.673583984375 527.4353637695312 1685.593505859375 705.07177734375,0.4543564021587372,ঢকা ১১-০৫৪),0.4876207658440534
21,1,271.32609950185986 4.429012063172138 1845.121801395288 957.6680155469321,1492.811279296875 528.0093994140625 1685.4730224609375 704.8755493164062,0.4568062424659729,ঢাকা ১-০৫৪),0.4565372716712056
22,1,260.2933804196724 8.223735745340264 1847.8887596433565 968.9424413860847,1488.88916015625 540.26611328125 1689.588134765625 717.4103393554688,0.5261042714118958,মেন্ডা ঢোকা ১১-০৫৪)|,0.3764444229417623
23,1,252.43189822016564 8.388732947426035 1848.615366208333 974.2470819402902,1489.006103515625 540.3814697265625 1689.720458984375 716.8859252929688,0.5149803161621094,ঢোকা ১--৫৪)|,0.2815777985765652
24,1,251.85565493628656 9.609659584976725 1852.6360504716686 980.8696317185136,1479.9378662109375 548.6580200195312 1679.178955078125 737.5757446289062,0.5383597016334534,যেনডা ঢোোকা $-0৫8)| $--৫৪)|,0.3790366769619995
25,1,249.3922500357362 9.572640248419702 1853.2076887120625 985.1966511719071,1480.1048583984375 547.8937377929688 1679.3221435546875 737.4456176757812,0.5468016862869263,যেডরো ঢকা ১১-০৫৪)|,0.4733317635831238
26,1,247.28830866346414 8.7914458038735 1851.9308725275519 987.5640267656897,1480.1912841796875 548.0647583007812 1679.43603515625 737.320556640625,0.5521199703216553,ঢাকা ১১-০৫৪)|,0.38007688957064734
27,1,246.59977798823832 6.6694164893214065 1846.1079564231422 989.9657634303692,1483.1148681640625 565.5032958984375 1670.129638671875 738.7615356445312,0.5490214824676514,মেড়েী ঢকা ( $-0৫8)) $--৫৪)),0.22370209215311443
28,1,248.43375809687177 5.046051713864301 1845.7130628785335 991.817857978157,1483.0740966796875 565.4594116210938 1670.181884765625 738.7235107421875,0.5477924942970276,ঢকা ( $-0৫8)) $--৫৪)),0.22366142216912666
